Instruction,Input,Output,Category,Subcategory
Generate a Fibonacci sequence from 0 to 10 using Python.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  

# Driver Code 
print(fibonacci(10))",Algorithms and Dynamic Programming,fibonacci
Construct an algorithm in Python to calculate the area of a triangle given its sides.,"3
4
5","def areaTriangle(a, b, c): 
    """"""
    Calculate the area of a triangle.
    Parameters: 
    a (float): length of side a
    b (float): length of side b
    c (float): length of side c
    """"""
    s = (a + b + c) / 2.0
    area = (s*(s-a)*(s-b)*(s-c)) ** 0.5
    return area
 
a = 3
b = 4
c = 5
 
area = areaTriangle(a, b, c)
print(""The area of the triangle is"", area)  # 6.0",Mathematics,calculate
Generate a python program to convert numbers in between 1 to 10 to their respective word form.,,"# Dictionary of numbers and words
DAYS = {
    1:'one',
    2:'two',
    3:'three',
    4:'four',
    5:'five',
    6:'six',
    7:'seven',
    8:'eight',
    9:'nine',
    10:'ten',
}

def num_to_str(num):
    if num in DAYS:
        return DAYS[num]
    else:
        return ""invalid number""

if __name__ == '__main__':
    num = 5
    print(num_to_str(num))",Mathematics,number
Write a Python program that takes a positive integer and prints the squares of all the numbers from 1 to the given number.,Given number: 5,"# Program to print the squares of all 
# the numbers from 1 to the given number 
  
# Positive number taken as an input 
num = 5
  
# Iterate from 1 to num 
for i in range(1, num+1): 
  
    # Calculate the square 
    value = i**2
      
    # Print the value 
    print(value)

# Output:
# 1
# 4
# 9
# 16
# 25",Syntax,integer
"Using Python, write a program that prints out the Fibonacci sequence up until the number 100.",,"def Fibonacci(n): 
 a = 0
 b = 1
 
 if n < 0: 
  print(""Incorrect input"") 
 elif n == 0: 
  return a 
 elif n == 1: 
  return b 
 else: 
  for i in range(2,n+1): 
   c = a + b 
   a = b 
   b = c 
  return b 
 
# Function to display Fibonacci sequence until number 100
for i in range(101):
  print(Fibonacci(i),end = "" "")",Syntax,print
Create a function in Python to print Pascal's Triangle of a given number of rows.,6,"def pascal_triangle(n):
    triangle = []

    for i in range(n):
        row = [1] * (i+1)
        triangle.append(row)

        for j in range(1,i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]

    for row in triangle:
        print(row)

pascal_triangle(6) 
# Output: [1]
# [1, 1]
# [1, 2, 1]
# [1, 3, 3, 1]
# [1, 4, 6, 4, 1]
# [1, 5, 10, 10, 5, 1]",Syntax,print
Write a function to find the median of three specific numbers.,,"def median_numbers(a,b,c):
 if a > b:
    if a < c:
        median = a
    elif b > c:
        median = b
    else:
        median = c
 else:
    if a > c:
        median = a
    elif b < c:
        median = b
    else:
        median = c
 return median",Mathematics,median
Generate the Fibonacci sequence of length 8 (starting from 0) in Python.,,"def fibonacciSequence(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 

fibonacciSequence(8) # Output:21",Algorithms and Dynamic Programming,fibonacci
Write a function to find if the given number is a keith number or not.,,"def is_num_keith(x): 
	terms = [] 
	temp = x 
	n = 0 
	while (temp > 0): 
		terms.append(temp % 10) 
		temp = int(temp / 10) 
		n+=1 
	terms.reverse() 
	next_term = 0 
	i = n 
	while (next_term < x): 
		next_term = 0 
		for j in range(1,n+1): 
			next_term += terms[i - j] 
		terms.append(next_term) 
		i+=1 
	return (next_term == x) ",Branching,if
Compose a Python program for finding the median value of an unsorted array.,"[4, 5, 6, 7, 8, 1, 2]","def median(arr):
    # Sort the array
    arr.sort()

    # Calculate length
    n = len(arr)

    # Check if n is even
    if n % 2 == 0:
        median1 = arr[n // 2]
        median2 = arr[n // 2 - 1]
        median = (median1 + median2) / 2
    else:
        median = arr[n // 2]

    return median

arr = [4, 5, 6, 7, 8, 1, 2]
result = median(arr)
print(result) # 4.5",Mathematics,median
Generate a list of Python library names available in the Python standard library.,,"Built-in Python libraries:
1. ast
2. dis
3. math
4. fractions
5. datetime
6. hashlib
7. itertools
8. json
9. urllib
10. os
11. pickle
12. random
13. re
14. subprocess
15. sys
16. time
17. zlib",Data Structures,list
Create a Python script to calculate the median of an array of integers.,"[3, 1, 4, 5, 2]","def median(arr): 
 # Sort the array 
 arr.sort() 
 n = len(arr) 
  
 # If number of elements is odd, 
 # return the middle element 
 if n % 2 != 0: 
  return arr[n//2] 
  
 # If number of elements is even, 
 # return the average of the middle 
 # two elements 
 else:
  return (arr[n//2] + arr[(n//2)-1]) / 2

# Driver code 
arr = [3, 1, 4, 5, 2] 
print(median(arr))",Mathematics,calculate
Write a Python code to implement a list containing at least three dictionaries.,,"list_of_dicts = [ 
    {
        ""name"": ""John"",
        ""age"": 32,
        ""country"": ""USA""
    },
    {
        ""name"": ""Peter"",
        ""age"": 28,
        ""country"": ""Australia""
    },
    {
        ""name"": ""David"",
        ""age"": 30,
        ""country"": ""Canada""
    }
]",Data Structures,list
Write a Python program to convert a given Roman number to its integer numerical equivalent.,,"def romanToInt(s):
    values = {
    'I': 1,
    'V': 5,
    'X': 10,
    'L': 50,
    'C': 100,
    'D': 500,
    'M': 1000
    }

    number = 0
    for i in range(len(s)):
        if i == 0 or values[s[i]] <= values[s[i-1]]:
            number += values[s[i]]
        else:
            number += values[s[i]] - 2*values[s[i-1]]

    return number",Mathematics,number
Create a Python function that takes a number as input and returns the Fibonacci number at the same position in the sequence.,3,"def fibonacciNum(n): 
  a = 0
  b = 1
  if n < 0: 
    print(""Incorrect input"") 
  elif n == 0: 
    return a 
  elif n == 1: 
    return b 
  else: 
    for i in range(2,n+1): 
        c = a + b 
        a = b 
        b = c 
    return b 

fibonacciNum(3)",Mathematics,number
Create a Python program to print out the prime numbers between the given input range.,"min = 1
max = 10","def print_primes(min, max):
  for num in range(min, max+1):
    if num > 1:
      for i in range(2, num):
        if (num % i) == 0:
          break
      else:
        print(num)
  
# Driver Code
min = 1
max = 10

print_primes(min, max)

# Output:
# 2
# 3
# 5
# 7",Syntax,print
Design an algorithm in Python to calculate the Fibonacci numbers up to N.,5,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 

print(fibonacci(5)) # 5",Mathematics,calculate
Write a short Python program to generate the Fibonacci sequence up to the given number n.,,"def fibonacci(n): 
    a = 0
    b = 1
 
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
if __name__ == '__main__':
    n = int(input('Enter a number: '))
    print(fibonacci(n))",Algorithms and Dynamic Programming,fibonacci
Design an algorithm in Python to Merge two lists.,"[1, 3, 5], [2, 4, 6]","def merge(list1, list2):
 merged_list = []
 
 while list1 and list2:
  if list1[0] < list2[0]:
   merged_list.append(list1[0])
   list1.pop(0)
  else:
   merged_list.append(list2[0])
   list2.pop(0)

 merged_list += list1
 merged_list += list2
 return merged_list

list1 = [1, 3, 5]
list2 = [2, 4, 6]

merged_list = merge(list1, list2)

print(""Merged list:"") 
print(merged_list)",Data Structures,list
"Given a set of numbers, construct a Python program to calculate the sum of all prime numbers in the set.","[2, 3, 9, 14]","def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True
 
def sum_primes(nums):
    prime_sum = 0
    for num in nums:
        if is_prime(num):
            prime_sum += num
    return prime_sum
 
nums = [2, 3, 9, 14]
 
result = sum_primes(nums)
print(result)",Syntax,set
Create a Python function to calculate the Fibonacci sequence with a given number as the input.,6,"def fibonacci_sequence(num): 
 
    a = 0
    b = 1
 
    if num < 0: 
        print(""Incorrect input"") 
    elif num == 0: 
        return a 
    elif num == 1: 
        return b 
    else: 
        for i in range(2,num): 
            c = a + b 
            a = b 
            b = c 
        return b 
 
print(fibonacci_sequence(num))",Mathematics,calculate
Generate a Python script to print the Fibonacci sequence.,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
print(Fibonacci(9))",Syntax,print
Write a function in Python to get the intersection of two sorted lists.,"list1 = [5, 7, 9, 11, 13]
list2 = [7, 8, 10, 11, 12]","def intersection(list1, list2):
 result = []
 i = 0
 j = 0
 while i < len(list1) and j < len(list2):
 if list1[i] == list2[j]:
 result.append(list1[i])
 i += 1
 j += 1
 elif list1[i] < list2[j]:
 i += 1
 else:
 j += 1
 return result

print(intersection(list1, list2))
# Output: [7, 11]",Data Structures,list
Create a Python program to print a given string with each character's ASCII code.,Hello world!,"def print_ascii(text):
    '''This function will print a given string with each character's ASCII code.'''
    for ch in text:
        print(f'{ch} : {ord(ch)}')

print_ascii('Hello world!')

# Output:
# H : 72
# e : 101
# l : 108
# l : 108
# o : 111
#  : 32
# w : 119
# o : 111
# r : 114
# l : 108
# d : 100
# ! : 33",Syntax,print
"Develop a Python program to generate a Fibonacci series up to nth element, where n is an input.",10,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
  
print(fibonacci(10))",Algorithms and Dynamic Programming,fibonacci
Write a python program to generate the first n prime numbers.,n = 10,"def generate_prime_numbers(n):
  prime_numbers = []
  count = 0
  num = 2
  while count < n:
    is_prime = True
    for i in range(2, num):
      if num % i == 0:
        is_prime = False
        break
    if is_prime:
      prime_numbers.append(num)
      count += 1
    num += 1
  return prime_numbers

primes = generate_prime_numbers(n)
print(primes)  # Outputs [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]",Mathematics,prime
Create a script in Python that prints the first 10 Fibonacci numbers.,,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    elif n==1: 
        return 0
    elif n==2: 
        return 1
    else: 
        x = 0
        y = 1
        for i in range(2, n): 
            z = x+y 
            x = y 
            y = z 
        return z 
  
for i in range(1, 11): 
    print(Fibonacci(i))",Syntax,print
Create an algorithm in Python to find the sum of the first n prime numbers,n = 10,"def sum_of_primes(n):
    if n < 2: 
        return 0
    primes = [2]
    num = 3
    while len(primes) < n:
        is_prime = True
        for p in primes:
            if num % p == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
        num += 2
    return sum(primes)

print(sum_of_primes(10))",Mathematics,sum
Write a python class that implements a linked list data structure.,,"class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

class LinkedList:
    def __init__(self):
        self.head = None
    
    def insert(self, data):
        node = Node(data)
        if not self.head:
            self.head = node
        else:
            tmp = self.head
            while tmp.next:
                tmp = tmp.next
            tmp.next = node",Object-Oriented Programming,class
"Create a program in Python that prints the Fibonacci Series up to N terms, where N is a user-input number.",,"def fibonacci_series(N):
    a = 0
    b = 1
 
    if N < 0:
        print(""Incorrect input"")
    elif N == 0:
        print(""Series up to 0 terms: "")
    else:
        print(""Series up to"", N,""terms:"")
    
    for i in range(0, N):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

N = int(input(""Enter a number: ""))
fibonacci_series(N)",Syntax,print
Write a Python function to convert a given floating point number to binary.,19.66,"def decimal_to_binary(f_num):
  b_str = """"
  int_num = int(f_num)
  f_num = f_num - int_num

  while int_num > 0:
    b_str = str(int_num % 2) + b_str
    int_num //= 2

  b_str = ""1."" + b_str

  while f_num > 0: 
    f_num *= 2
    int_num = int(f_num)
    if int_num == 1:
      b_str += ""1""
    else:
      b_str += ""0""
    f_num = f_num - int_num

  return b_str",Mathematics,number
Can you make a Python program to print out the Fibonacci sequence up to the nth element of the sequence?,8,"def Fibonacci(n):
  a = 0
  b = 1
  if n < 0:
    print(""Incorrect input"")
  elif n == 0:
    return 0
  elif n == 1:
    return 1
  else:
    for i in range(2,n):
      c = a + b
      a = b
      b = c
    return b

print(Fibonacci(8)) # Output: 13",Syntax,print
Write a function in Python that prints all the prime numbers between two given numbers inclusive.,"Start: 15
End: 25","def printPrimeNumbers(start, end):
 for num in range(start, end+1):
 # base case
 if num > 1: 
 for i in range(2, num): 
 if (num % i) == 0: 
 break
 else: 
 print(num) 

# Driver Code 
start = 15
end = 25

printPrimeNumbers(start, end) 

# Output:
# 17 
# 19 
# 23 
# 25",Syntax,print
Write a Python program to create a list of odd numbers between x and y.,"x = 3, y = 10","# Generate a list of odd numbers between x and y
def odd_numbers(x, y):
  # Initialize an empty list 
  odd_list = [] 
  
  # Loop through the range
  for i in range(x, y): 
    # If the number is odd
    if (i % 2 != 0): 
      odd_list.append(i)
  
  return odd_list 
  
x = 3
y = 10

# Get the list of odd numbers
odd_list = odd_numbers(x, y)

# Print the list
print(odd_list)",Data Structures,list
Develop a function in Python to print the first 10 Fibonacci numbers.,,"def printFibo(n): 
    a = 0
    b = 1
    
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        print(a) 
    elif n == 1: 
        print(b) 
    else: 
        print(a)
        print(b)
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
            print(b)
        
printFibo(10)",Syntax,print
Can you create a Python program to find prime numbers within a given range?,,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True


def find_prime_numbers(a, b):
    result = []
    for num in range(a, b + 1):
        if is_prime(num):
            result.append(num)
    return result


start = 2
end = 20
print(find_prime_numbers(start, end))",Mathematics,prime
Design a loop in a Python program to print the Fibonacci series up to the nth term.,n=10,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
print(fibonacci(n))",Loops,loop
Create a simple algorithm in Python to find the mode of a given array of numbers.,"[1, 2, 2, 3, 5, 6, 7]","def mode(arr):
  dict = {}
  for item in arr:
    if item in dict:
      dict[item] += 1
    else:
      dict[item] = 1
  
  max_val = 0
  max_key = 0
  for key, value in dict.items():
    if value > max_val:
      max_val = value
      max_key = key
  
  return max_key

arr = [1, 2, 2, 3, 5, 6, 7]
print(mode(arr))",Scientific Computing,array
Design a Python program to print out all possible permutations of a 3 character string.,ABC,"def permutation(str):
    if len(str) == 0:
        return []
    if len(str) == 1:
        return [str]
    l = [] 
    for i in range(len(str)):
       m = str[i] 
       remLst = permutation(str[:i] + str[i+1:])
       for p in remLst:
           l.append(m + p)
    return l

string = 'ABC'
l = permutation(string)
for s in l:
    print(s)",Syntax,print
Write a function in Python to print the Fibonacci sequence up to the nth term.,n = 10,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
    
print(""Fibonacci sequence:"")
for i in range(n):
    print(fibonacci(i))",Syntax,print
Develop a Python program to display the Fibonacci sequence up to n-th term.,10,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
print(fibonacci(10))",Algorithms and Dynamic Programming,fibonacci
Create a dictionary in Python to store information about the different elements in the Periodic Table.,,"elements_dict = {}

elements_dict[""Hydrogen""] = {
    ""symbol"": ""H"", 
    ""atomic_number"": 1, 
    ""atomic_mass"": 1.008, 
    ""group"": 1, 
    ""period"": 1
    }

elements_dict[""Helium""] = {
    ""symbol"": ""He"", 
    ""atomic_number"": 2, 
    ""atomic_mass"": 4.003, 
    ""group"": 18, 
    ""period"": 1
    }

#Repeat for other elements.",Data Structures,dictionary
"Create a Python class to implement a queue with methods push() to insert an element, pop() to remove an element, and peek() to return the top element of the queue.",,"class Queue:
 def __init__(self):
 self.queue = []

 def push(self, item):
 self.queue.append(item)

 def pop(self):
 return self.queue.pop(0)

 def peek(self):
 return self.queue[0]

# Usage example
q = Queue()
q.push(1)
q.push(2)
q.push(3)

print(q.pop()) # 1 
print(q.peek()) # 2",Object-Oriented Programming,class
Create a Python function that prints the next prime number after a given number.,19,"def is_prime(n):
 
 if n <= 1:
 return False
 
 for i in range(2, int(n**0.5)+1):
 if n % i == 0:
 return False
 
 return True
 
 
def next_prime(num):
 
 if is_prime(num):
 num += 1
 
 while (True):
 if is_prime(num):
 return num
 
 num += 1
 
 
num = 19
print(next_prime(num))
# Output: 23",Syntax,print
Create a program in Python that prints out the first 10 prime numbers.,"""<noinput>""","import math

def is_prime(n):
    if n == 1:
        return False
    
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

prime_nums = []

for i in range(2, 1000):  
    if is_prime(i):
        prime_nums.append(i)
        if len(prime_nums) == 10:
            break

for item in prime_nums:
    print(item)",Syntax,print
Write a python script to format a list of numbers into a tabular form.,"[2, 3, 4, 5, 6]","def format_list(list_in):
   list_out = []

   for n in list_in:
      list_out.append('|'+str(n).ljust(2)+'|')
   
   header = '--|--+'
   header_line = '--|'+'--'*len(list_out)+'|'
   
   list_out = [header] + list_out + [header_line]
   
   return '\n'.join(list_out)

print(format_list([2, 3, 4, 5, 6]))

# Output:
--|--+
|2 |
|3 |
|4 |
|5 |
|6 |
--|---|",Data Structures,list
Edit a Python program given to produce a new program with different outputs according to the given criteria.,none,"def double(value): 
    return value * 2

def triple(value): 
    return value * 3

def quad(value):
    return value * 4

def calculate_value(n): 
    if n > 10: 
        return double(n) 
    elif n > 5: 
        return triple(n) 
    else: 
        return quad(n) 
    
print(calculate_value(-2))
print(calculate_value(8)) 
print(calculate_value(13))",Branching,elif
Generate a Python program to print the Fibonacci series up to n-th term.,The n value is 6.,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
print(Fibonacci(6))",Syntax,print
Design an algorithm in Python to generate all permutations of a given list.,,"def permute(nums):
  res = [] 
  backtrack(nums, res, [])
  return res

def backtrack(nums, res, temp):
  if(len(temp) == len(nums)):
    res.append(temp[:])
  else:
    for num in nums:
      if num not in temp:
        temp.append(num)
        backtrack(nums, res, temp)
        temp.pop()

#print the result 
nums = [1, 2, 3]
perms = permute(nums)
print(perms)",Data Structures,list
Create a Python program that takes a string as input and prints all permutations of it in lexicographical order.,ABC,"def permutations(string):
 if len(string) == 0:
 return

 else:
 first_char = string[0]
 remainder = string[1:]
 permutations(remainder)
 for perm in permutations(remainder):
 for i in range(len(perm)+1):
 result = perm[:i] + first_char + perm[i:]
 print(result)

permutations(""ABC"") #run the code

# Output
ABC
ACB
BAC
BCA
CBA
CAB",Data Structures,string
Create a Python function to print out all the prime numbers between two integers.,"start = 10, end = 25","def print_primes(start, end):
 for n in range(start, end + 1):
 if is_prime(n):
 print(n)
 
def is_prime(n):
 if n <= 1:
 return False
 elif n <= 3:
 return True
 elif (n % 2 == 0) or (n % 3 == 0):
 return False
 
 i = 5
 while i ** 2 <= n:
 if (n % i == 0) or (n % (i + 2) == 0):
 return False
 i += 6
 
 return True

print_primes(10, 25)",Syntax,print
Write a python script that prints the 20th Fibonacci number.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    
    elif n == 0: 
        return a 
    
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 

print(fibonacci(20))",Syntax,print
Modify a Python program to optimize its performance and handle errors gracefully.,A Python program to read a file and print its contents,"# Library import
import os

# Path of the file
file_name = ""myfile.txt""

# Open file
try:
  with open(file_name, 'r') as f:

    # Read file
    contents = f.read()

    # Print file
    print(contents)

except IOError:
  print('Error: file not found!')

finally:
  if f:
    f.close()",Testing and Debugging,error
Write a Python function to print a Pascal Triangle.,,"def printPascalTriangle(n): 

	for line in range(1, n + 1): 
		C = 1; # used to represent C(line, i) 
		for i in range(1, line + 1): 
			# The first value in a line is always 1 
			print(C, end = "" ""); 
			C = int(C * (line - i) / i); # Calculating 
										# the next value  
		print(""""); # entered to move to the next line 

# Driver Code 
n = 5; 
printPascalTriangle(n); 

Output:
1 
1 1 
1 2 1 
1 3 3 1 
1 4 6 4 1",Syntax,print
Write a function to check whether a list contains the given sublist or not.,,"def is_sublist(l, s):
	sub_set = False
	if s == []:
		sub_set = True
	elif s == l:
		sub_set = True
	elif len(s) > len(l):
		sub_set = False
	else:
		for i in range(len(l)):
			if l[i] == s[0]:
				n = 1
				while (n < len(s)) and (l[i+n] == s[n]):
					n += 1				
				if n == len(s):
					sub_set = True
	return sub_set",Data Structures,list
Write a Python function to find the most frequent elements in a list.,"[3, 4, 2, 5, 4, 3, 2, 5, 4]","def most_frequent_elements(lst):
 count = {}
 for item in lst:
 if item in count:
 count[item] += 1
 else:
 count[item] = 1
 max_count = 0
 max_element = None
 for item in count:
 if count[item] > max_count:
 max_count = count[item]
 max_element = item

return max_element

print(most_frequent_elements([3, 4, 2, 5, 4, 3, 2, 5, 4]))
# Output: 4",Data Structures,list
Create a Python program to find the square root of a number without using the square root function.,25,"# A function to calculate the Square Root of a number using 
# the babylonian method 
def sqrt(n): 
	
	# We are using n itself as initial approximation 
	# This can definitely be improved 
	x = n 
	y = 1
	
	# e decides the accuracy level 
	e = 0.000001
	
	while(x - y > e): 
		x = (x + y)/2
		y = n/x 

	return x 

# Driver Program 
num = 25
print(sqrt(num))",Mathematics,number
Write a function to find the longest chain which can be formed from the given set of pairs.,,"class Pair(object): 
	def __init__(self, a, b): 
		self.a = a 
		self.b = b 
def max_chain_length(arr, n): 
	max = 0
	mcl = [1 for i in range(n)] 
	for i in range(1, n): 
		for j in range(0, i): 
			if (arr[i].a > arr[j].b and
				mcl[i] < mcl[j] + 1): 
				mcl[i] = mcl[j] + 1
	for i in range(n): 
		if (max < mcl[i]): 
			max = mcl[i] 
	return max",Syntax,set
Develop a function to search for a character into a given string and return its index if present.,"String: Python
Character: y","#function to search for a character
def search_char(str, char):
	idx = -1
	for i in range(len(str)):
		if str[i] == char:
			idx = i
			break
	return idx
    
#call the function
str = 'Python'
char = 'y'

index = search_char(str, char)
#print the result
if index != -1:
	print('Character found at index:', index)
else:
	print('Character not found')",Data Structures,string
