ID_log,Question_ID,Category,Answer,Old Q-Value,New Q-Value
78,3060,Testing and Debugging,Correct,0.2882226626128868,0.3882461619810945
79,1834,Syntax,Correct,-0.09404008605877605,0.05030607712540007
80,4548,Syntax,Correct,0.05030607712540007,0.1802176239911586
81,1301,Syntax,Correct,0.1802176239911586,0.29713801617034125
82,3719,Functions and Advanced Concepts,Incorrect,0.2297258083016389,0.1416953820497735
83,8264,Functions and Advanced Concepts,Correct,0.1416953820497735,0.26246799842309465
84,2679,Mathematics,Incorrect,0.23449908090425864,0.14599132739213128
85,6207,Branching,Correct,0.26149735511821,0.3702897741846875
86,8282,Syntax,Correct,0.29713801617034125,0.4023663691316056
87,1039,Mathematics,Correct,0.14599132739213128,0.26760516787476263
88,7348,File Handling,Correct,0.2297258083016389,0.3429662006933195
89,6485,Sorting,Correct,0.24653316296535752,0.35809281989066627
90,3408,Functions and Advanced Concepts,Correct,0.26246799842309465,0.3724341718026297
91,937,Mathematics,Incorrect,0.26760516787476263,0.17705762430913086
92,715,Mathematics,Correct,0.17705762430913086,0.29556483510006226
93,7600,Syntax,Correct,0.4023663691316056,0.4983427054402896
94,1760,Algorithms and Dynamic Programming,Incorrect,0.2692869105015675,0.1872090629410368
95,7229,Algorithms and Dynamic Programming,Correct,0.1872090629410368,0.31333900013655924
96,3682,Loops,Correct,0.2692869105015675,0.3872090629410368
97,7998,Mathematics,Incorrect,0.29556483510006226,0.2108591950796821
98,509,Mathematics,Correct,0.2108591950796821,0.33462411906133993
99,3639,Scientific Computing,Correct,0.2800575912451089,0.3969026756102241
100,4929,Data Analysis,Correct,0.28508096410603256,0.4014237111850554
